96,124,135,160,182,182,175,165,151,131,117,110,109,109,108,107,
125,125,100,122,152,167,186,186,182,174,164,152,138,126,118,106,
154,155,146,131,119,116,119,159,180,192,186,175,169,155,140,128,
153,156,154,147,140,135,134,124,128,137,152,171,185,190,188,165,
145,150,157,160,160,157,154,134,121,114,123,139,153,168,181,186,
108,113,120,126,130,132,132,145,143,138,130,117,108,109,113,133,
98,96,95,95,96,100,102,110,129,142,138,127,116,101,86,76,
121,115,108,102,98,97,97,95,107,112,113,123,136,131,115,103,
119,117,116,115,111,103,97,105,101,94,92,103,119,127,126,137,
107,111,120,129,128,116,105,96,96,99,101,97,92,97,106,113,
90,99,105,111,116,119,118,113,109,103,96,92,94,99,103,100,
67,78,83,86,94,101,105,108,108,108,104,99,94,92,91,97,
65,73,73,73,79,88,93,101,106,113,116,113,107,100,96,95,
87,88,84,82,83,86,86,88,95,105,112,115,115,114,113,105,
95,91,88,87,88,84,77,75,79,84,89,95,101,107,111,115,
81,77,75,80,83,77,68,74,73,72,71,73,79,88,93,99,
79,74,71,74,79,76,71,75,75,73,70,69,70,74,77,79,
92,85,79,78,81,82,80,71,73,74,73,71,69,69,70,79,
96,95,91,81,79,82,77,77,76,75,73,71,68,66,64,69,
