244,247,248,247,247,245,244,239,212,102,152,215,227,228,232,230,
247,242,243,244,243,245,243,235,196,95,176,218,227,229,228,230,
244,243,244,245,247,248,243,236,167,99,196,222,228,227,232,230,
245,246,247,244,244,245,243,230,139,114,208,226,224,228,228,235,
244,244,247,245,239,245,240,223,116,137,215,225,227,233,228,234,
244,249,245,243,244,244,236,202,100,162,216,226,227,231,227,233,
244,251,240,245,243,244,236,185,92,182,219,227,224,230,232,233,
244,246,244,247,240,243,235,163,99,201,225,224,228,229,228,236,
248,245,247,245,244,243,227,136,116,207,220,230,232,233,232,232,
245,243,244,245,243,241,216,112,136,212,223,227,228,228,228,234,
247,248,247,244,244,243,207,99,164,219,226,230,228,236,232,235,
244,250,244,248,243,241,191,93,183,221,225,230,228,229,235,237,
244,243,244,248,243,236,167,101,196,223,228,226,228,234,228,235,
240,244,240,244,239,227,140,114,207,225,228,230,231,230,232,233,
244,243,244,245,240,221,116,133,215,224,227,227,232,233,228,232,
244,245,247,244,241,213,101,153,220,228,228,228,228,236,232,235,
243,244,244,244,240,199,92,175,219,225,223,226,228,230,228,232,
248,244,244,242,231,177,96,192,216,229,231,234,231,232,232,235,
244,246,244,242,232,153,104,206,224,232,231,234,231,235,232,241,
